"","Enrichment.FDR","nGenes","Pathway.Genes","Fold.Enrichment","Pathway","URL","Genes","cluster"
"14",9.81402562531023e-10,32,516,4.4736980589795,"GO:0022613 Ribonucleoprotein complex biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0022613"," AT1G06380  AT1G13160  SAC52  AT1G31660  NFD3  FAS4  AT1G67620  AT2G18220  AT2G20450  FZF  AT3G02560  XPO1B  AT3G21540  PMH1  AT3G58660  MEE49  AT4G25730  AT5G14520  AT5G15750  RAN2  AT5G20160  AT5G20600  AT5G48240  OLI2  PPAN  NRPA2  AT1G66070  EMB2762  AT2G25870  EDA14  AT1G18850  AT5G11240","1"
"15",0.000127490902572538,20,402,3.58897418910669,"GO:0006790 Sulfur compound metabolic proc. ","https://amigo.geneontology.org/amigo/term/GO:0006790"," IAR4  GSTU7  GSTU6  GSTU5  APS1  AKN2  SIR  SAL1  APR1  GGP1  AT1G14810  SERAT2;1  GSTF10  MYC2  UGT74B1  AT1G61730  SUR1  WES1  MYB73  CYP79B3","1"
"16",9.81402562531023e-10,57,1458,2.8202247794647,"GO:0044085 Cellular component biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0044085"," AT1G06380  AT1G13160  SAC52  AT1G31660  NFD3  FAS4  AT1G44890  AT1G67620  AT2G18220  AT2G20450  FZF  CDT1A  AT3G02560  XPO1B  AT3G08980  AT3G13940  AT3G21540  PMH1  AT3G58660  MEE49  AT4G25730  ATG18B  AT5G14520  RGP2  AT5G15750  RAN2  AT5G20160  AT5G20600  AT5G48240  OLI2  NAP1;3  PPAN  MYC2  CINV1  FKBP53  MAP18  RUP1  NRPA2  XTH30  AT1G66070  EMB2762  AT2G25870  EDA14  XTH24  LON1  XTH20  AT1G06515  GAUT14  RPA1A  RABA1d  QRT3  RABA4B  RABA1c  RABA2D  AT1G18850  AT5G11240  ATL5","1"
"17",0.00254627161755876,26,769,2.43900898729149,"GO:0006412 Translation ","https://amigo.geneontology.org/amigo/term/GO:0006412"," NFD3  XW6  AT1G67620  AT3G57490  AT4G02930  AT4G10450  AT4G36130  AT4G39880  AT5G27770  SAC52  AT1G66070  AT2G05220  AT2G20450  EMB2785  AT2G32220  AT3G02560  AT3G04840  AT3G10610  AT3G16565  AT3G18760  AT3G59670  RPS6  LSP1  AT5G59850  GBF6  PPAN","1"
"18",1.16496135176168e-06,86,3325,1.86583482204205,"GO:0071840 Cellular component organization or biogenesis ","https://amigo.geneontology.org/amigo/term/GO:0071840"," PEX11C  AT1G06380  AT1G13160  SAC52  AT1G31660  NFD3  FAS4  AT1G44890  MCM2  AT1G67620  RPA1A  AT2G18220  AT2G18330  AT2G20450  FZF  CDT1A  AT3G02560  AT3G03060  XPO1B  AT3G08980  AT3G13940  AT3G20898  AT3G21540  PMH1  AT3G58660  MEE49  AT4G19410  AT4G25730  ATG18B  RPA70B  AT5G14520  RGP2  AT5G15750  AT5G16930  RAN2  AT5G20160  AT5G20600  MCM6  AT5G48240  MEMB12  OLI2  NAP1;3  PPAN  VPS20.1  AT5G64950  MYC2  CINV1  FKBP53  MAP18  RUP1  AT1G14020  NRPA2  XTH30  AT1G66070  MCM5  EMB2762  AT2G25870  GAUT13  EDA14  QRT3  XTH24  SDG4  GAUT14  LON1  XTH20  AT1G06515  UGD3  CTF18  UGT74B1  NP2  LZF1  SUR1  CYP79B3  NAI1  AT2G25790  MEE23  AT3G16800  FBL17  RABA1d  RABA4B  MIA40  RABA1c  RABA2D  AT1G18850  AT5G11240  ATL5","1"
"19",0.00293022274079878,83,3912,1.53054336392809,"GO:0006950 Response to stress ","https://amigo.geneontology.org/amigo/term/GO:0006950"," AT1G26270  ETR2  AT3G46080  AT3G56880  SUS1  EXL2  CSD1  CAT1  PDIL1-1  MCM2  HSFA8  TIFY7  DRS1  RPA1A  MCM5  TPS11  RPA2  PCNA2  AT3G22275  mtHsc70-1  RPA70B  MCM6  SUR1  AT3G21650  SAC52  AT1G63220  NIA1  PDF2.1  NATA1  LOX5  PBL1  AT4G16500  RHA3B  AT5G05600  AT5G21090  LON1  BRG1  AT5G46871  NAP1;3  OCT6  MYC2  CINV1  SERAT2;1  SULTR1;2  HSP91  GRP2B  CYP79B3  GSTU5  GSTF10  PDIL2-3  AT2G34810  CAX9  JR1  PMH1  ICE1  AT4G10390  CYP707A1  AT4G28140  SIR  MES5  NAC083  MAP18  CYP94B1  FZF  UGT71C5  AT1G20380  UGT74B1  CIPK16  AT2G28130  ELO1  AT3G16800  AT3G27550  FBL17  AT4G02550  GBF6  MYB73  AT5G21940  SOS3  LSP1  UBP21  MEMB12  CIPK21  MYB68","1"
"20",0.00293022274079878,96,4704,1.4722118612458,"GO:0010467 Gene expression ","https://amigo.geneontology.org/amigo/term/GO:0010467"," AT1G06380  PDIL1-1  AT1G31660  NFD3  MYC2  FAS4  XW6  AT1G67620  HSFA8  MGP3  LZF1  HSP91  AT3G02560  ALY2  AT3G08980  ELO1  AT3G13940  AT3G14740  AT3G21540  PMH1  ICE1  LBD38  AT3G57490  AT3G58660  MEE49  AT4G02930  AT4G10450  AT4G25730  SDG4  GBF6  AT4G36130  MYB73  mtHsc70-1  AT4G39880  AT5G07340  AT5G14520  AT5G15750  AT5G20160  AT5G20600  MIA40  AT5G25790  AT5G27770  AT5G36670  AT5G42060  AT5G48240  OLI2  AT4G15690  NAC083  AT1G01940  NAC003  NAC004  TRM82  SAC52  NRPA2  MYB50  ATRPAC42  AT1G61730  AT1G66070  AT1G75670  AT2G05220  MYB7  EMB2762  AT2G20450  AT2G25870  EMB2785  AT2G32220  UPB1  AT3G04840  AT3G10610  AT3G16565  GATA17  AT3G18760  AT3G22275  EDF3  CRF11  AT3G27550  OBP3  AT3G59670  EDA14  AT4G28140  RPS6  LSP1  AT5G48560  AT5G59850  PPAN  AT5G64710  AT5G64950  MYB68  CSD1  NAI1  FZF  ORC1B  AT1G18850  AT5G11240  SIR  AT3G46080","1"
"21",4.37935845489204e-19,59,267,4.18743802756842,"GO:0001666 Response to hypoxia ","https://amigo.geneontology.org/amigo/term/GO:0001666"," AT1G02360  MAPKKK13  AT1G14200  AlaAT1  TEM1  GA2OX2  AT1G50740  AT1G59860  FBS1  PERK9  AT1G72910  AT1G72920  AT1G72940  OPR1  AT1G78850  SERK4  HB1  HSFA2  AT2G32200  AT2G32210  HSPRO2  WRKY46  PI4K GAMMA 4  ERF71  GSTF8  LBD41  AT3G23170  WRKY70  WRKY22  BPS3  NUDT7  ACR7  SGT1A  AT4G24160  AT4G27280  CBSX5  AT4G29780  XTH18  AT4G34150  ZAT6  NHL3  HSP17.6II  DMR6  GDPD2  AT5G42050  RBOHD  AT5G63130  AT5G66650  AT4G16660  ALAAT2  AT3G03670  AT4G19520  GLB3  STOP1  NPR1  AT3G24715  EDS1  PAD4  CTR1","2"
"22",4.0279263442251e-17,53,240,4.18477652034751,"GO:0071456 Cellular response to hypoxia ","https://amigo.geneontology.org/amigo/term/GO:0071456"," AT1G02360  MAPKKK13  AT1G14200  AlaAT1  TEM1  GA2OX2  AT1G50740  AT1G59860  FBS1  PERK9  AT1G72910  AT1G72920  AT1G72940  OPR1  AT1G78850  SERK4  HB1  HSFA2  AT2G32200  AT2G32210  HSPRO2  WRKY46  PI4K GAMMA 4  ERF71  GSTF8  LBD41  AT3G23170  WRKY70  WRKY22  BPS3  NUDT7  ACR7  SGT1A  AT4G24160  AT4G27280  CBSX5  AT4G29780  XTH18  AT4G34150  ZAT6  NHL3  HSP17.6II  DMR6  GDPD2  AT5G42050  RBOHD  AT5G63130  AT5G66650  AT4G16660  AT3G03670  AT4G19520  STOP1  AT3G24715","2"
"23",9.04821826149014e-19,59,271,4.12563082420948,"GO:0036293 Response to decreased oxygen levels ","https://amigo.geneontology.org/amigo/term/GO:0036293"," AT1G02360  MAPKKK13  AT1G14200  AlaAT1  TEM1  GA2OX2  AT1G50740  AT1G59860  FBS1  PERK9  AT1G72910  AT1G72920  AT1G72940  OPR1  AT1G78850  SERK4  HB1  HSFA2  AT2G32200  AT2G32210  HSPRO2  WRKY46  PI4K GAMMA 4  ERF71  GSTF8  LBD41  AT3G23170  WRKY70  WRKY22  BPS3  NUDT7  ACR7  SGT1A  AT4G24160  AT4G27280  CBSX5  AT4G29780  XTH18  AT4G34150  ZAT6  NHL3  HSP17.6II  DMR6  GDPD2  AT5G42050  RBOHD  AT5G63130  AT5G66650  AT4G16660  ALAAT2  AT3G03670  AT4G19520  GLB3  STOP1  NPR1  AT3G24715  EDS1  PAD4  CTR1","2"
